session_date,side,entry_ts,entry_price,exit_ts,exit_price,pnl_dollars,cum_pnl,peak,drawdown,year
2020-02-18,Long,2020-02-18 09:45:00-05:00,9602.75,2020-02-18 11:30:00-05:00,9596.0,-15.5,-15.5,-15.5,0.0,2020
2020-02-21,Short,2020-02-21 09:45:00-05:00,9539.75,2020-02-21 09:49:00-05:00,9499.75,78.0,62.5,62.5,0.0,2020
2020-02-24,Long,2020-02-24 09:45:00-05:00,9177.5,2020-02-24 10:31:00-05:00,9137.5,-82.0,-19.5,62.5,-82.0,2020
2020-02-25,Short,2020-02-25 09:45:00-05:00,9122.25,2020-02-25 10:23:00-05:00,9082.25,78.0,58.5,62.5,-4.0,2020
2020-02-26,Short,2020-02-26 09:45:00-05:00,8997.5,2020-02-26 09:51:00-05:00,8957.5,78.0,136.5,136.5,0.0,2020
2020-02-27,Short,2020-02-27 09:45:00-05:00,8666.25,2020-02-27 09:46:00-05:00,8626.25,78.0,214.5,214.5,0.0,2020
2020-02-28,Short,2020-02-28 09:45:00-05:00,8234.75,2020-02-28 09:48:00-05:00,8274.75,-82.0,132.5,214.5,-82.0,2020
2020-03-03,Short,2020-03-03 09:45:00-05:00,8824.75,2020-03-03 09:52:00-05:00,8784.75,78.0,210.5,214.5,-4.0,2020
2020-03-04,Short,2020-03-04 09:45:00-05:00,8721.0,2020-03-04 09:54:00-05:00,8681.0,78.0,288.5,288.5,0.0,2020
2020-03-05,Short,2020-03-05 09:45:00-05:00,8768.0,2020-03-05 09:52:00-05:00,8728.0,78.0,366.5,366.5,0.0,2020
2020-03-06,Short,2020-03-06 09:45:00-05:00,8426.214285714286,2020-03-06 09:50:00-05:00,8386.214285714286,78.0,444.5,444.5,0.0,2020
2020-03-09,Long,2020-03-09 09:49:00-04:00,7857.009615384615,2020-03-09 09:50:00-04:00,7817.009615384615,-82.0,362.5,444.5,-82.0,2020
2020-03-10,Short,2020-03-10 09:45:00-04:00,8164.25,2020-03-10 09:58:00-04:00,8204.25,-82.0,280.5,444.5,-164.0,2020
2020-03-11,Long,2020-03-11 09:45:00-04:00,8158.25,2020-03-11 10:05:00-04:00,8198.25,78.0,358.5,444.5,-86.0,2020
2020-03-12,Short,2020-03-12 09:50:00-04:00,7433.5,2020-03-12 09:51:00-04:00,7393.5,78.0,436.5,444.5,-8.0,2020
2020-03-13,Long,2020-03-13 09:45:00-04:00,7554.25,2020-03-13 09:46:00-04:00,7514.25,-82.0,354.5,444.5,-90.0,2020
2020-03-20,Short,2020-03-20 09:45:00-04:00,7320.0,2020-03-20 09:53:00-04:00,7360.0,-82.0,272.5,444.5,-172.0,2020
2020-03-24,Short,2020-03-24 09:45:00-04:00,7341.75,2020-03-24 09:52:00-04:00,7381.75,-82.0,190.5,444.5,-254.0,2020
